train_loss,epoch,step
1.218754529953003,0,3
0.420337975025177,1,7
0.18853291869163513,2,11
0.11097681522369385,3,15
0.0731213390827179,4,19
0.05299074947834015,5,23
0.041463132947683334,6,27
0.03434501215815544,7,31
0.028797505423426628,8,35
0.023869529366493225,9,39
0.01980300061404705,10,43
0.016738519072532654,11,47
0.014409729279577732,12,51
0.012605682946741581,13,55
0.01117534376680851,14,59
0.010013898834586143,15,63
0.009149504825472832,16,67
0.008566092699766159,17,71
0.008050959557294846,18,75
0.007590530440211296,19,79
0.007174538914114237,20,83
0.006795498542487621,21,87
0.0064473701640963554,22,91
0.006126010790467262,23,95
0.005860138218849897,24,99
0.0056633553467690945,25,103
0.00547668756917119,26,107
0.005298741161823273,27,111
0.005128596909344196,28,115
0.004965691827237606,29,119
