train_loss,epoch,step
0.6635453104972839,0,17
0.44523680210113525,1,35
0.4359755218029022,2,53
0.43419787287712097,3,71
0.4369669556617737,4,89
0.4399014711380005,5,107
0.4375101923942566,6,125
0.43460437655448914,7,143
0.4332624673843384,8,161
0.43298542499542236,9,179
0.43220895528793335,10,197
0.43171870708465576,11,215
0.431329607963562,12,233
0.43099233508110046,13,251
0.43065547943115234,14,269
0.43038037419319153,15,287
0.4277713894844055,16,305
0.4276944398880005,17,323
0.42764487862586975,18,341
0.4275940954685211,19,359
0.42754337191581726,20,377
0.42749279737472534,21,395
0.42744243144989014,22,413
0.4273923635482788,23,431
0.425883412361145,24,449
0.4258797764778137,25,467
0.42587265372276306,26,485
0.4258635938167572,27,503
0.42585331201553345,28,521
0.4258421063423157,29,539
