train_loss,epoch,step
0.6137136816978455,0,3
0.23964014649391174,1,7
0.13523706793785095,2,11
0.08672794699668884,3,15
0.06062592566013336,4,19
0.04731784015893936,5,23
0.03840357065200806,6,27
0.03085675835609436,7,31
0.02467951737344265,8,35
0.019878119230270386,9,39
0.016180403530597687,10,43
0.01341531053185463,11,47
0.011307246051728725,12,51
0.009671025909483433,13,55
0.008381367661058903,14,59
0.007353315129876137,15,63
0.006606705952435732,16,67
0.006114896386861801,17,71
0.0056885238736867905,18,75
0.005313006229698658,19,79
0.004978235810995102,20,83
0.004676977172493935,21,87
0.0044039529748260975,22,91
0.0041547734290361404,23,95
0.00395080354064703,24,99
0.0038014259189367294,25,103
0.0036607536021620035,26,107
0.0035276273265480995,27,111
0.0034011867828667164,28,115
0.003280926961451769,29,119
